127.0.0.1 - - [22/Apr/2020:10:38:37 +0200] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [22/Apr/2020:10:38:49 +0200] "POST /ProgrammaBiennale2020/dwr/call/plaincall/Module.request.dwr HTTP/1.1" 200 6139
0:0:0:0:0:0:0:1 - - [22/Apr/2020:10:38:50 +0200] "POST /ProgrammaBiennale2020/dwr/call/plaincall/Module.request.dwr HTTP/1.1" 200 639
0:0:0:0:0:0:0:1 - - [22/Apr/2020:10:38:50 +0200] "GET /ProgrammaBiennale2020/ HTTP/1.1" 200 85
0:0:0:0:0:0:0:1 - - [22/Apr/2020:10:38:51 +0200] "GET /ProgrammaBiennale2020/m/FirstSteps HTTP/1.1" 200 13519
0:0:0:0:0:0:0:1 - - [22/Apr/2020:10:38:51 +0200] "GET /ProgrammaBiennale2020/dwr/interface/Modules.js?ox=6.1.2 HTTP/1.1" 200 985
0:0:0:0:0:0:0:1 - - [22/Apr/2020:10:38:51 +0200] "GET /ProgrammaBiennale2020/dwr/interface/Folders.js?ox=6.1.2 HTTP/1.1" 200 508
0:0:0:0:0:0:0:1 - - [22/Apr/2020:10:38:51 +0200] "GET /ProgrammaBiennale2020/dwr/interface/Module.js?ox=6.1.2 HTTP/1.1" 200 1144
0:0:0:0:0:0:0:1 - - [22/Apr/2020:10:38:51 +0200] "GET /ProgrammaBiennale2020/dwr/util.js?ox=6.1.2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Apr/2020:10:38:51 +0200] "GET /ProgrammaBiennale2020/dwr/interface/Tab.js?ox=6.1.2 HTTP/1.1" 200 1007
0:0:0:0:0:0:0:1 - - [22/Apr/2020:10:38:51 +0200] "GET /ProgrammaBiennale2020/dwr/interface/View.js?ox=6.1.2 HTTP/1.1" 200 555
0:0:0:0:0:0:0:1 - - [22/Apr/2020:10:38:52 +0200] "GET /ProgrammaBiennale2020/xava/images/search.png HTTP/1.1" 404 1039
0:0:0:0:0:0:0:1 - - [22/Apr/2020:10:38:52 +0200] "POST /ProgrammaBiennale2020/dwr/call/plaincall/Module.getStrokeActions.dwr HTTP/1.1" 200 119
0:0:0:0:0:0:0:1 - - [22/Apr/2020:10:38:52 +0200] "POST /ProgrammaBiennale2020/dwr/call/plaincall/Module.request.dwr HTTP/1.1" 200 3514
0:0:0:0:0:0:0:1 - - [22/Apr/2020:10:43:46 +0200] "POST /ProgrammaBiennale2020/dwr/call/plaincall/Folders.goFolder.dwr HTTP/1.1" 200 2395
0:0:0:0:0:0:0:1 - - [22/Apr/2020:10:43:48 +0200] "POST /ProgrammaBiennale2020/dwr/call/plaincall/Folders.goBack.dwr HTTP/1.1" 200 5639
0:0:0:0:0:0:0:1 - - [22/Apr/2020:10:43:50 +0200] "POST /ProgrammaBiennale2020/dwr/call/plaincall/Folders.goFolder.dwr HTTP/1.1" 200 4060
0:0:0:0:0:0:0:1 - - [22/Apr/2020:10:43:51 +0200] "POST /ProgrammaBiennale2020/dwr/call/plaincall/Folders.goBack.dwr HTTP/1.1" 200 5639
0:0:0:0:0:0:0:1 - - [22/Apr/2020:10:43:52 +0200] "POST /ProgrammaBiennale2020/dwr/call/plaincall/Folders.goFolder.dwr HTTP/1.1" 200 1765
0:0:0:0:0:0:0:1 - - [22/Apr/2020:10:43:53 +0200] "GET /ProgrammaBiennale2020/m/Pubblicazione?init=true HTTP/1.1" 200 10200
0:0:0:0:0:0:0:1 - - [22/Apr/2020:10:43:53 +0200] "GET /ProgrammaBiennale2020/dwr/interface/Modules.js?ox=6.1.2 HTTP/1.1" 200 985
0:0:0:0:0:0:0:1 - - [22/Apr/2020:10:43:53 +0200] "GET /ProgrammaBiennale2020/dwr/interface/Folders.js?ox=6.1.2 HTTP/1.1" 200 508
0:0:0:0:0:0:0:1 - - [22/Apr/2020:10:43:53 +0200] "GET /ProgrammaBiennale2020/dwr/util.js?ox=6.1.2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Apr/2020:10:43:53 +0200] "GET /ProgrammaBiennale2020/dwr/interface/Module.js?ox=6.1.2 HTTP/1.1" 200 1144
0:0:0:0:0:0:0:1 - - [22/Apr/2020:10:43:53 +0200] "GET /ProgrammaBiennale2020/dwr/interface/Tab.js?ox=6.1.2 HTTP/1.1" 200 1007
0:0:0:0:0:0:0:1 - - [22/Apr/2020:10:43:53 +0200] "GET /ProgrammaBiennale2020/dwr/interface/View.js?ox=6.1.2 HTTP/1.1" 200 555
0:0:0:0:0:0:0:1 - - [22/Apr/2020:10:43:53 +0200] "GET /ProgrammaBiennale2020/xava/images/search.png HTTP/1.1" 404 1039
0:0:0:0:0:0:0:1 - - [22/Apr/2020:10:43:54 +0200] "POST /ProgrammaBiennale2020/dwr/call/plaincall/Module.getStrokeActions.dwr HTTP/1.1" 200 1193
0:0:0:0:0:0:0:1 - - [22/Apr/2020:10:43:55 +0200] "POST /ProgrammaBiennale2020/dwr/call/plaincall/Module.request.dwr HTTP/1.1" 200 84924
0:0:0:0:0:0:0:1 - - [22/Apr/2020:10:43:59 +0200] "POST /ProgrammaBiennale2020/dwr/call/plaincall/Module.request.dwr HTTP/1.1" 200 36968
0:0:0:0:0:0:0:1 - - [22/Apr/2020:10:46:32 +0200] "POST /ProgrammaBiennale2020/dwr/call/plaincall/Module.request.dwr HTTP/1.1" 200 2936
0:0:0:0:0:0:0:1 - - [22/Apr/2020:10:46:34 +0200] "POST /ProgrammaBiennale2020/dwr/call/plaincall/Module.request.dwr HTTP/1.1" 200 2305
0:0:0:0:0:0:0:1 - - [22/Apr/2020:10:46:54 +0200] "POST /ProgrammaBiennale2020/dwr/call/plaincall/Module.request.dwr HTTP/1.1" 200 2860
0:0:0:0:0:0:0:1 - - [22/Apr/2020:10:53:48 +0200] "POST /ProgrammaBiennale2020/dwr/call/plaincall/Folders.goBack.dwr HTTP/1.1" 200 5639
0:0:0:0:0:0:0:1 - - [22/Apr/2020:10:53:50 +0200] "POST /ProgrammaBiennale2020/dwr/call/plaincall/Folders.goFolder.dwr HTTP/1.1" 200 2395
0:0:0:0:0:0:0:1 - - [22/Apr/2020:10:53:53 +0200] "GET /ProgrammaBiennale2020/m/ArchivioPubblicazioni?init=true HTTP/1.1" 200 10893
0:0:0:0:0:0:0:1 - - [22/Apr/2020:10:53:53 +0200] "GET /ProgrammaBiennale2020/dwr/interface/Modules.js?ox=6.1.2 HTTP/1.1" 200 985
0:0:0:0:0:0:0:1 - - [22/Apr/2020:10:53:53 +0200] "GET /ProgrammaBiennale2020/dwr/interface/Folders.js?ox=6.1.2 HTTP/1.1" 200 508
0:0:0:0:0:0:0:1 - - [22/Apr/2020:10:53:53 +0200] "GET /ProgrammaBiennale2020/dwr/util.js?ox=6.1.2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Apr/2020:10:53:53 +0200] "GET /ProgrammaBiennale2020/dwr/interface/Module.js?ox=6.1.2 HTTP/1.1" 200 1144
0:0:0:0:0:0:0:1 - - [22/Apr/2020:10:53:53 +0200] "GET /ProgrammaBiennale2020/dwr/interface/Tab.js?ox=6.1.2 HTTP/1.1" 200 1007
0:0:0:0:0:0:0:1 - - [22/Apr/2020:10:53:53 +0200] "GET /ProgrammaBiennale2020/dwr/interface/View.js?ox=6.1.2 HTTP/1.1" 200 555
0:0:0:0:0:0:0:1 - - [22/Apr/2020:10:53:53 +0200] "GET /ProgrammaBiennale2020/xava/images/search.png HTTP/1.1" 404 1039
0:0:0:0:0:0:0:1 - - [22/Apr/2020:10:53:53 +0200] "POST /ProgrammaBiennale2020/dwr/call/plaincall/Module.getStrokeActions.dwr HTTP/1.1" 200 1195
0:0:0:0:0:0:0:1 - - [22/Apr/2020:10:53:53 +0200] "POST /ProgrammaBiennale2020/dwr/call/plaincall/Module.request.dwr HTTP/1.1" 200 27104
0:0:0:0:0:0:0:1 - - [22/Apr/2020:10:53:57 +0200] "POST /ProgrammaBiennale2020/dwr/call/plaincall/Module.request.dwr HTTP/1.1" 200 108197
0:0:0:0:0:0:0:1 - - [22/Apr/2020:10:54:01 +0200] "POST /ProgrammaBiennale2020/dwr/call/plaincall/Module.request.dwr HTTP/1.1" 200 27102
0:0:0:0:0:0:0:1 - - [22/Apr/2020:10:54:02 +0200] "POST /ProgrammaBiennale2020/dwr/call/plaincall/Module.request.dwr HTTP/1.1" 200 94980
0:0:0:0:0:0:0:1 - - [22/Apr/2020:10:54:07 +0200] "POST /ProgrammaBiennale2020/dwr/call/plaincall/Module.request.dwr HTTP/1.1" 200 95537
0:0:0:0:0:0:0:1 - - [22/Apr/2020:10:54:10 +0200] "GET /ProgrammaBiennale2020/m/ArchivioPubblicazioni?init=true HTTP/1.1" 200 10893
0:0:0:0:0:0:0:1 - - [22/Apr/2020:10:54:10 +0200] "GET /ProgrammaBiennale2020/dwr/interface/Modules.js?ox=6.1.2 HTTP/1.1" 200 985
0:0:0:0:0:0:0:1 - - [22/Apr/2020:10:54:10 +0200] "GET /ProgrammaBiennale2020/dwr/interface/Folders.js?ox=6.1.2 HTTP/1.1" 200 508
0:0:0:0:0:0:0:1 - - [22/Apr/2020:10:54:10 +0200] "GET /ProgrammaBiennale2020/dwr/interface/Tab.js?ox=6.1.2 HTTP/1.1" 200 1007
0:0:0:0:0:0:0:1 - - [22/Apr/2020:10:54:10 +0200] "GET /ProgrammaBiennale2020/dwr/interface/Module.js?ox=6.1.2 HTTP/1.1" 200 1144
0:0:0:0:0:0:0:1 - - [22/Apr/2020:10:54:10 +0200] "GET /ProgrammaBiennale2020/dwr/interface/View.js?ox=6.1.2 HTTP/1.1" 200 555
0:0:0:0:0:0:0:1 - - [22/Apr/2020:10:54:11 +0200] "GET /ProgrammaBiennale2020/xava/images/search.png HTTP/1.1" 404 1039
0:0:0:0:0:0:0:1 - - [22/Apr/2020:10:54:11 +0200] "POST /ProgrammaBiennale2020/dwr/call/plaincall/Module.getStrokeActions.dwr HTTP/1.1" 200 1195
0:0:0:0:0:0:0:1 - - [22/Apr/2020:10:54:11 +0200] "POST /ProgrammaBiennale2020/dwr/call/plaincall/Module.request.dwr HTTP/1.1" 200 24203
0:0:0:0:0:0:0:1 - - [22/Apr/2020:10:54:13 +0200] "POST /ProgrammaBiennale2020/dwr/call/plaincall/Folders.goBack.dwr HTTP/1.1" 200 5639
0:0:0:0:0:0:0:1 - - [22/Apr/2020:10:54:13 +0200] "POST /ProgrammaBiennale2020/dwr/call/plaincall/Folders.goFolder.dwr HTTP/1.1" 200 4060
0:0:0:0:0:0:0:1 - - [22/Apr/2020:10:54:14 +0200] "POST /ProgrammaBiennale2020/dwr/call/plaincall/Folders.goBack.dwr HTTP/1.1" 200 5639
0:0:0:0:0:0:0:1 - - [22/Apr/2020:10:54:18 +0200] "POST /ProgrammaBiennale2020/dwr/call/plaincall/Folders.goFolder.dwr HTTP/1.1" 200 1765
0:0:0:0:0:0:0:1 - - [22/Apr/2020:10:54:19 +0200] "GET /ProgrammaBiennale2020/m/Pubblicazione?init=true HTTP/1.1" 200 10200
0:0:0:0:0:0:0:1 - - [22/Apr/2020:10:54:19 +0200] "GET /ProgrammaBiennale2020/dwr/interface/Modules.js?ox=6.1.2 HTTP/1.1" 200 985
0:0:0:0:0:0:0:1 - - [22/Apr/2020:10:54:19 +0200] "GET /ProgrammaBiennale2020/dwr/interface/Folders.js?ox=6.1.2 HTTP/1.1" 200 508
0:0:0:0:0:0:0:1 - - [22/Apr/2020:10:54:19 +0200] "GET /ProgrammaBiennale2020/dwr/interface/Module.js?ox=6.1.2 HTTP/1.1" 200 1144
0:0:0:0:0:0:0:1 - - [22/Apr/2020:10:54:19 +0200] "GET /ProgrammaBiennale2020/dwr/interface/Tab.js?ox=6.1.2 HTTP/1.1" 200 1007
0:0:0:0:0:0:0:1 - - [22/Apr/2020:10:54:19 +0200] "GET /ProgrammaBiennale2020/dwr/interface/View.js?ox=6.1.2 HTTP/1.1" 200 555
0:0:0:0:0:0:0:1 - - [22/Apr/2020:10:54:19 +0200] "GET /ProgrammaBiennale2020/xava/images/search.png HTTP/1.1" 404 1039
0:0:0:0:0:0:0:1 - - [22/Apr/2020:10:54:19 +0200] "POST /ProgrammaBiennale2020/dwr/call/plaincall/Module.getStrokeActions.dwr HTTP/1.1" 200 1193
0:0:0:0:0:0:0:1 - - [22/Apr/2020:10:54:20 +0200] "POST /ProgrammaBiennale2020/dwr/call/plaincall/Module.request.dwr HTTP/1.1" 200 85000
0:0:0:0:0:0:0:1 - - [22/Apr/2020:10:54:21 +0200] "POST /ProgrammaBiennale2020/dwr/call/plaincall/Module.request.dwr HTTP/1.1" 200 37044
0:0:0:0:0:0:0:1 - - [22/Apr/2020:10:54:23 +0200] "POST /ProgrammaBiennale2020/dwr/call/plaincall/Module.request.dwr HTTP/1.1" 200 2241
0:0:0:0:0:0:0:1 - - [22/Apr/2020:14:09:38 +0200] "POST /ProgrammaBiennale2020/dwr/call/plaincall/Folders.goBack.dwr HTTP/1.1" 200 121
0:0:0:0:0:0:0:1 - - [22/Apr/2020:14:09:38 +0200] "GET /ProgrammaBiennale2020/ HTTP/1.1" 200 1056
0:0:0:0:0:0:0:1 - - [22/Apr/2020:14:09:40 +0200] "GET /ProgrammaBiennale2020/m/SignIn HTTP/1.1" 200 8044
0:0:0:0:0:0:0:1 - - [22/Apr/2020:14:09:40 +0200] "GET /ProgrammaBiennale2020/dwr/interface/Modules.js?ox=6.1.2 HTTP/1.1" 200 985
0:0:0:0:0:0:0:1 - - [22/Apr/2020:14:09:40 +0200] "GET /ProgrammaBiennale2020/dwr/interface/Folders.js?ox=6.1.2 HTTP/1.1" 200 508
0:0:0:0:0:0:0:1 - - [22/Apr/2020:14:09:40 +0200] "GET /ProgrammaBiennale2020/dwr/util.js?ox=6.1.2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Apr/2020:14:09:40 +0200] "GET /ProgrammaBiennale2020/dwr/interface/Module.js?ox=6.1.2 HTTP/1.1" 200 1144
0:0:0:0:0:0:0:1 - - [22/Apr/2020:14:09:40 +0200] "GET /ProgrammaBiennale2020/dwr/interface/View.js?ox=6.1.2 HTTP/1.1" 200 555
0:0:0:0:0:0:0:1 - - [22/Apr/2020:14:09:40 +0200] "GET /ProgrammaBiennale2020/dwr/interface/Tab.js?ox=6.1.2 HTTP/1.1" 200 1007
0:0:0:0:0:0:0:1 - - [22/Apr/2020:14:09:40 +0200] "POST /ProgrammaBiennale2020/dwr/call/plaincall/Module.getStrokeActions.dwr HTTP/1.1" 200 119
0:0:0:0:0:0:0:1 - - [22/Apr/2020:14:09:40 +0200] "POST /ProgrammaBiennale2020/dwr/call/plaincall/Module.request.dwr HTTP/1.1" 200 6139
0:0:0:0:0:0:0:1 - - [22/Apr/2020:14:09:45 +0200] "POST /ProgrammaBiennale2020/dwr/call/plaincall/Module.request.dwr HTTP/1.1" 200 639
0:0:0:0:0:0:0:1 - - [22/Apr/2020:14:09:45 +0200] "GET /ProgrammaBiennale2020/ HTTP/1.1" 200 85
0:0:0:0:0:0:0:1 - - [22/Apr/2020:14:09:46 +0200] "GET /ProgrammaBiennale2020/m/FirstSteps HTTP/1.1" 200 13519
0:0:0:0:0:0:0:1 - - [22/Apr/2020:14:09:46 +0200] "GET /ProgrammaBiennale2020/dwr/interface/Modules.js?ox=6.1.2 HTTP/1.1" 200 985
0:0:0:0:0:0:0:1 - - [22/Apr/2020:14:09:46 +0200] "GET /ProgrammaBiennale2020/dwr/interface/Folders.js?ox=6.1.2 HTTP/1.1" 200 508
0:0:0:0:0:0:0:1 - - [22/Apr/2020:14:09:46 +0200] "GET /ProgrammaBiennale2020/dwr/interface/Module.js?ox=6.1.2 HTTP/1.1" 200 1144
0:0:0:0:0:0:0:1 - - [22/Apr/2020:14:09:46 +0200] "GET /ProgrammaBiennale2020/dwr/interface/Tab.js?ox=6.1.2 HTTP/1.1" 200 1007
0:0:0:0:0:0:0:1 - - [22/Apr/2020:14:09:46 +0200] "GET /ProgrammaBiennale2020/dwr/interface/View.js?ox=6.1.2 HTTP/1.1" 200 555
0:0:0:0:0:0:0:1 - - [22/Apr/2020:14:09:46 +0200] "GET /ProgrammaBiennale2020/xava/images/search.png HTTP/1.1" 404 1039
0:0:0:0:0:0:0:1 - - [22/Apr/2020:14:09:46 +0200] "POST /ProgrammaBiennale2020/dwr/call/plaincall/Module.getStrokeActions.dwr HTTP/1.1" 200 119
0:0:0:0:0:0:0:1 - - [22/Apr/2020:14:09:46 +0200] "POST /ProgrammaBiennale2020/dwr/call/plaincall/Module.request.dwr HTTP/1.1" 200 3514
0:0:0:0:0:0:0:1 - - [22/Apr/2020:14:10:04 +0200] "POST /ProgrammaBiennale2020/dwr/call/plaincall/Folders.goFolder.dwr HTTP/1.1" 200 4060
0:0:0:0:0:0:0:1 - - [22/Apr/2020:14:10:05 +0200] "GET /ProgrammaBiennale2020/m/Folder?init=true HTTP/1.1" 200 12091
0:0:0:0:0:0:0:1 - - [22/Apr/2020:14:10:05 +0200] "GET /ProgrammaBiennale2020/dwr/interface/Folders.js?ox=6.1.2 HTTP/1.1" 200 508
0:0:0:0:0:0:0:1 - - [22/Apr/2020:14:10:05 +0200] "GET /ProgrammaBiennale2020/dwr/interface/View.js?ox=6.1.2 HTTP/1.1" 200 555
0:0:0:0:0:0:0:1 - - [22/Apr/2020:14:10:05 +0200] "GET /ProgrammaBiennale2020/dwr/interface/Modules.js?ox=6.1.2 HTTP/1.1" 200 985
0:0:0:0:0:0:0:1 - - [22/Apr/2020:14:10:05 +0200] "GET /ProgrammaBiennale2020/dwr/interface/Tab.js?ox=6.1.2 HTTP/1.1" 200 1007
0:0:0:0:0:0:0:1 - - [22/Apr/2020:14:10:05 +0200] "GET /ProgrammaBiennale2020/dwr/interface/Module.js?ox=6.1.2 HTTP/1.1" 200 1144
0:0:0:0:0:0:0:1 - - [22/Apr/2020:14:10:05 +0200] "POST /ProgrammaBiennale2020/dwr/call/plaincall/Module.getStrokeActions.dwr HTTP/1.1" 200 1182
0:0:0:0:0:0:0:1 - - [22/Apr/2020:14:10:09 +0200] "POST /ProgrammaBiennale2020/dwr/call/plaincall/Module.request.dwr HTTP/1.1" 200 48939
0:0:0:0:0:0:0:1 - - [22/Apr/2020:14:10:33 +0200] "POST /ProgrammaBiennale2020/dwr/call/plaincall/Module.request.dwr HTTP/1.1" 200 44062
0:0:0:0:0:0:0:1 - - [22/Apr/2020:14:10:33 +0200] "GET /ProgrammaBiennale2020/xava/style/smoothness/images/ui-bg_flat_75_ffffff_40x100.png HTTP/1.1" 200 208
0:0:0:0:0:0:0:1 - - [22/Apr/2020:14:14:26 +0200] "GET /ProgrammaBiennale2020/m/Module?init=true HTTP/1.1" 200 12091
0:0:0:0:0:0:0:1 - - [22/Apr/2020:14:14:26 +0200] "GET /ProgrammaBiennale2020/dwr/interface/Modules.js?ox=6.1.2 HTTP/1.1" 200 985
